# Registro de escrituras directas en la base de producción (una línea por corrida de scripts/prod-write.mjs).
# fecha | operador | destino | guion@hash | estado (ok · error · sin-arrancar) | exit | filas | motivo aprobado
2026-09-19T03:19:29.996Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/verify-schema.ts@60ecb40ec3814f14 | estado=sin-arrancar | exit=1 | rows=? | "prueba del envoltorio"
2026-09-19T03:46:49.173Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/verify-schema.ts@60ecb40ec3814f14 | estado=ok | exit=0 | rows=? | "prueba del envoltorio con tsx: verify-schema.ts, solo lectura"
2026-09-19T05:45:12.893Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/apply-manual-migration.mjs@b54701aee477c1fd | estado=ok | exit=0 | rows=? | "crear tablas ScannerSession y ScannerScan (escáner remoto)"
2026-09-20T06:52:15.842Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/normalize-restock-order-number.mjs@6fb8b63c76adff1b | estado=ok | exit=0 | rows=1 | "normalizar PO-5 a PO-0005"
2026-09-20T23:52:59.289Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/verify-schema.ts@60ecb40ec3814f14 | estado=ok | exit=0 | rows=? | "recategorizar los 4 Kit oficina fuera de Kits sorpresa"
2026-09-20T23:53:37.907Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/verify-schema.ts@60ecb40ec3814f14 | estado=ok | exit=0 | rows=? | "aplicar migración de cápsulas y escalera de precio"
2026-09-21T00:35:32.136Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/recategorize-office-kits.mjs@62698872f1adad18 | estado=ok | exit=0 | rows=? | "recategorizar los 4 Kit oficina fuera de Kits sorpresa"
2026-09-21T00:36:05.561Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/apply-manual-migration.mjs@b54701aee477c1fd | estado=ok | exit=0 | rows=? | "aplicar migración de cápsulas y escalera de precio"
2026-09-21T07:22:28.017Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/apply-manual-migration.mjs@b54701aee477c1fd | estado=error | exit=1 | rows=? | "aplicar migración de BSUID en Conversation"
2026-09-21T07:25:25.338Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/apply-manual-migration.mjs@b54701aee477c1fd | estado=ok | exit=0 | rows=? | "terminar migración de BSUID en Conversation (sentencias 2 a 4)"
2026-09-21T07:57:13.525Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/backfill-bsuid-conversations.ts@2e7eacec622a31a2 | estado=ok | exit=0 | rows=? | "rescatar 147 mensajes de WhatsApp perdidos por BSUID"
2026-09-21T08:19:20.769Z | christiantorres | root@monorail.proxy.rlwy.net/railway | /private/tmp/claude-501/-Users-christiantorres-Developer-Proyectos-P-de-Papel-Ecommerce-pdepapel/7f7ceeae-6d19-4976-be58-0e4639532e97/scratchpad/set-pagos.ts@878d36a4ce23d905 | estado=ok | exit=0 | rows=? | "corregir los textos de Efectivo y Datáfono del menú de pago"
2026-09-21T22:33:05.563Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/apply-manual-migration.mjs@b54701aee477c1fd | estado=ok | exit=0 | rows=? | "Apply newsletter tables migration + deploy 22 pending commits (WhatsApp bot, email, boletín, tributarios, rendimiento)"
2026-09-22T02:20:36.591Z | christiantorres | root@monorail.proxy.rlwy.net/railway | scripts/apply-manual-migration.mjs@b54701aee477c1fd | estado=ok | exit=0 | rows=? | "crear tabla IgnoredContact"
